semana;reg_saude;medida;score
hoje;Planalto Norte;Reorganização dos fluxos assistenciais;4
hoje;Planalto Norte;Ampliação de leitos;2
hoje;Planalto Norte;mapa;2.75
hoje;Serra Catarinense;Isolamento social;1
hoje;Serra Catarinense;Investigação, testagem e isolamento de casos;1
hoje;Serra Catarinense;Reorganização dos fluxos assistenciais;2
hoje;Serra Catarinense;Ampliação de leitos;1
hoje;Serra Catarinense;mapa;1.25
hoje;Xanxerê;Isolamento social;4
hoje;Xanxerê;Investigação, testagem e isolamento de casos;3
hoje;Xanxerê;Reorganização dos fluxos assistenciais;3
hoje;Xanxerê;Ampliação de leitos;2
hoje;Xanxerê;mapa;3
